Date,Sales,Advertising
2020-01,100,20
2020-02,110,25
2020-03,120,30
2020-04,125,32
2020-05,130,35
2020-06,135,37
2020-07,145,40
2020-08,150,42
2020-09,155,45
2020-10,160,47
2020-11,170,50
2020-12,180,55
2021-01,185,58
2021-02,190,60
2021-03,200,63
2021-04,210,65
2021-05,220,68
2021-06,225,70
2021-07,235,73
2021-08,245,75
2021-09,250,78
2021-10,260,80
2021-11,275,85
2021-12,290,90
2022-01,300,95
2022-02,310,98
2022-03,320,100
2022-04,330,103
2022-05,340,105
2022-06,350,108
2022-07,360,110
2022-08,375,115
2022-09,385,118
2022-10,395,120
2022-11,410,125
2022-12,425,130
